ICD-9,DiseaseName
01014,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01015,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01016,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01080,"Other primary progressive tuberculosis, unspecified "
01081,"Other primary progressive tuberculosis, bacteriological or histological examination not done "
01082,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present) "
01083,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy "
01084,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01085,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01086,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01090,"Primary tuberculous infection, unspecified, unspecified "
01091,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done "
01092,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present) "
01093,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy "
01094,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01095,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01096,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01100,"Tuberculosis of lung, infiltrative, unspecified "
01101,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done "
01102,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present) "
01103,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy "
01104,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01105,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01106,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01110,"Tuberculosis of lung, nodular, unspecified "
01111,"Tuberculosis of lung, nodular, bacteriological or histological examination not done "
01112,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present) "
01113,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy "
01114,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01115,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01116,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01120,"Tuberculosis of lung with cavitation, unspecified "
01121,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done "
01122,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present) "
01123,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy "
01124,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01125,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01126,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01130,"Tuberculosis of bronchus, unspecified "
01131,"Tuberculosis of bronchus, bacteriological or histological examination not done "
01132,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present) "
01133,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy "
01134,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture "
01135,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01136,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01140,"Tuberculous fibrosis of lung, unspecified "
01141,"Tuberculous fibrosis of lung, bacteriological or histological examination not done "
01142,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present) "
01143,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy "
01144,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01145,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01146,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01150,"Tuberculous bronchiectasis, unspecified "
01151,"Tuberculous bronchiectasis, bacteriological or histological examination not done "
01152,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present) "
01153,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy "
01154,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01155,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01156,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01160,"Tuberculous pneumonia [any form], unspecified "
01161,"Tuberculous pneumonia [any form], bacteriological or histological examination not done "
01162,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present) "
01163,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy "
01164,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01165,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01166,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01170,"Tuberculous pneumothorax, unspecified "
01171,"Tuberculous pneumothorax, bacteriological or histological examination not done "
01172,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present) "
01173,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy "
01174,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01175,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01176,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01180,"Other specified pulmonary tuberculosis, unspecified "
01181,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done "
01182,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present) "
01183,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy "
01184,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01185,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01186,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01190,"Pulmonary tuberculosis, unspecified, unspecified "
01191,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done "
01192,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present) "
01193,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy "
01194,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01195,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01196,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01200,"Tuberculous pleurisy, unspecified "
01201,"Tuberculous pleurisy, bacteriological or histological examination not done "
01202,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present) "
01203,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy "
01204,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01205,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01206,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01210,"Tuberculosis of intrathoracic lymph nodes, unspecified "
01211,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done "
01212,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present) "
01213,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy "
01214,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01215,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01216,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01220,"Isolated tracheal or bronchial tuberculosis, unspecified "
01221,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done "
01222,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present) "
01223,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy "
01224,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01225,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01226,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01230,"Tuberculous laryngitis, unspecified "
01231,"Tuberculous laryngitis, bacteriological or histological examination not done "
01232,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present) "
01233,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy "
01234,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01235,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01236,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01280,"Other specified respiratory tuberculosis, unspecified "
01281,"Other specified respiratory tuberculosis, bacteriological or histological examination not done "
01282,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present) "
01283,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy "
01284,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01285,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01286,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01300,"Tuberculous meningitis, unspecified "
01301,"Tuberculous meningitis, bacteriological or histological examination not done "
01302,"Tuberculous meningitis, bacteriological or histological examination unknown (at present) "
01303,"Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy "
01304,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01305,"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01306,"Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01310,"Tuberculoma of meninges, unspecified "
01311,"Tuberculoma of meninges, bacteriological or histological examination not done "
01312,"Tuberculoma of meninges, bacteriological or histological examination unknown (at present) "
01313,"Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy "
01314,"Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01315,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01316,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01320,"Tuberculoma of brain, unspecified "
01321,"Tuberculoma of brain, bacteriological or histological examination not done "
01322,"Tuberculoma of brain, bacteriological or histological examination unknown (at present) "
01323,"Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy "
01324,"Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01325,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01326,"Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01330,"Tuberculous abscess of brain, unspecified "
01331,"Tuberculous abscess of brain, bacteriological or histological examination not done "
01332,"Tuberculous abscess of brain, bacteriological or histological examination unknown (at present) "
01333,"Tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy "
01334,"Tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01335,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01336,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01340,"Tuberculoma of spinal cord, unspecified "
01341,"Tuberculoma of spinal cord, bacteriological or histological examination not done "
01342,"Tuberculoma of spinal cord, bacteriological or histological examination unknown (at present) "
01343,"Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy "
01344,"Tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01345,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01346,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01350,"Tuberculous abscess of spinal cord, unspecified "
01351,"Tuberculous abscess of spinal cord, bacteriological or histological examination not done "
01352,"Tuberculous abscess of spinal cord, bacteriological or histological examination unknown (at present) "
01353,"Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy "
01354,"Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01355,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01356,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01360,"Tuberculous encephalitis or myelitis, unspecified "
01361,"Tuberculous encephalitis or myelitis, bacteriological or histological examination not done "
01362,"Tuberculous encephalitis or myelitis, bacteriological or histological examination unknown (at present) "
01363,"Tuberculous encephalitis or myelitis, tubercle bacilli found (in sputum) by microscopy "
01364,"Tuberculous encephalitis or myelitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01365,"Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01366,"Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01380,"Other specified tuberculosis of central nervous system, unspecified "
01381,"Other specified tuberculosis of central nervous system, bacteriological or histological examination not done "
01382,"Other specified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present) "
01383,"Other specified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy "
01384,"Other specified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01385,"Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01386,"Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01390,"Unspecified tuberculosis of central nervous system, unspecified "
01391,"Unspecified tuberculosis of central nervous system, bacteriological or histological examination not done "
01392,"Unspecified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present) "
01393,"Unspecified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy "
01394,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01395,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01396,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01400,"Tuberculous peritonitis, unspecified "
01401,"Tuberculous peritonitis, bacteriological or histological examination not done "
01402,"Tuberculous peritonitis, bacteriological or histological examination unknown (at present) "
01403,"Tuberculous peritonitis, tubercle bacilli found (in sputum) by microscopy "
01404,"Tuberculous peritonitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01405,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01406,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01480,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, unspecified "
01481,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination not done "
01482,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination unknown (at present) "
01483,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli found (in sputum) by microscopy "
01484,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01485,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01486,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01500,"Tuberculosis of vertebral column, unspecified "
01501,"Tuberculosis of vertebral column, bacteriological or histological examination not done "
01502,"Tuberculosis of vertebral column, bacteriological or histological examination unknown (at present) "
01503,"Tuberculosis of vertebral column, tubercle bacilli found (in sputum) by microscopy "
01504,"Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01505,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01506,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01510,"Tuberculosis of hip, unspecified "
01511,"Tuberculosis of hip, bacteriological or histological examination not done "
01512,"Tuberculosis of hip, bacteriological or histological examination unknown (at present) "
01513,"Tuberculosis of hip, tubercle bacilli found (in sputum) by microscopy "
01514,"Tuberculosis of hip, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01515,"Tuberculosis of hip, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01516,"Tuberculosis of hip, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01520,"Tuberculosis of knee, unspecified "
01521,"Tuberculosis of knee, bacteriological or histological examination not done "
01522,"Tuberculosis of knee, bacteriological or histological examination unknown (at present) "
01523,"Tuberculosis of knee, tubercle bacilli found (in sputum) by microscopy "
01524,"Tuberculosis of knee, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01525,"Tuberculosis of knee, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01526,"Tuberculosis of knee, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01550,"Tuberculosis of limb bones, unspecified "
01551,"Tuberculosis of limb bones, bacteriological or histological examination not done "
01552,"Tuberculosis of limb bones, bacteriological or histological examination unknown (at present) "
01553,"Tuberculosis of limb bones, tubercle bacilli found (in sputum) by microscopy "
01554,"Tuberculosis of limb bones, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01555,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01556,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01560,"Tuberculosis of mastoid, unspecified "
01561,"Tuberculosis of mastoid, bacteriological or histological examination not done "
01562,"Tuberculosis of mastoid, bacteriological or histological examination unknown (at present) "
01563,"Tuberculosis of mastoid, tubercle bacilli found (in sputum) by microscopy "
01564,"Tuberculosis of mastoid, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01565,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01566,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01570,"Tuberculosis of other specified bone, unspecified "
01571,"Tuberculosis of other specified bone, bacteriological or histological examination not done "
01572,"Tuberculosis of other specified bone, bacteriological or histological examination unknown (at present) "
01573,"Tuberculosis of other specified bone, tubercle bacilli found (in sputum) by microscopy "
01574,"Tuberculosis of other specified bone, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01575,"Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01576,"Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01580,"Tuberculosis of other specified joint, unspecified "
01581,"Tuberculosis of other specified joint, bacteriological or histological examination not done "
01582,"Tuberculosis of other specified joint, bacteriological or histological examination unknown (at present) "
01583,"Tuberculosis of other specified joint, tubercle bacilli found (in sputum) by microscopy "
01584,"Tuberculosis of other specified joint, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01585,"Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01586,"Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01590,"Tuberculosis of unspecified bones and joints, unspecified "
01591,"Tuberculosis of unspecified bones and joints, bacteriological or histological examination not done "
01592,"Tuberculosis of unspecified bones and joints, bacteriological or histological examination unknown (at present) "
01593,"Tuberculosis of unspecified bones and joints, tubercle bacilli found (in sputum) by microscopy "
01594,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01595,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01596,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01600,"Tuberculosis of kidney, unspecified "
01601,"Tuberculosis of kidney, bacteriological or histological examination not done "
01602,"Tuberculosis of kidney, bacteriological or histological examination unknown (at present) "
01603,"Tuberculosis of kidney, tubercle bacilli found (in sputum) by microscopy "
01604,"Tuberculosis of kidney, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01605,"Tuberculosis of kidney, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01606,"Tuberculosis of kidney, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01610,"Tuberculosis of bladder, unspecified "
01611,"Tuberculosis of bladder, bacteriological or histological examination not done "
01612,"Tuberculosis of bladder, bacteriological or histological examination unknown (at present) "
01613,"Tuberculosis of bladder, tubercle bacilli found (in sputum) by microscopy "
01614,"Tuberculosis of bladder, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture "
01615,"Tuberculosis of bladder, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically "
01616,"Tuberculosis of bladder, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals] "
01620,"Tuberculosis of ureter, unspecified "
01621,"Tuberculosis of ureter, bacteriological or histological examination not done "
01622,"Tuberculosis of ureter, bacteriological or histological examination unknown (at present) "
